Name,Theory/Lectures Filmed?,Needs,FilmingWorkShop / Examples / Whatever Supplementary Materials,Status,Person Assinged Writer,Projects,Other Filming Locations?,Parent,PDFs/Attachments,Doesn't Need Attachment,Missing Attachments?,Amount of Projects,Module priority,Parent?,Parent Groups,FilmingTheory?,Workshops/Supplementaries Filmed?
"Advanced Emotional Positioning ",No,,Tia Warner,Finding Examples,Tia Warner,"F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21)",,Theory Advanced (https://www.notion.so/Theory-Advanced-17ed642a7f7180af91bcd56177891eb3?pvs=21),,No,Yes,2,Normal,No,Theory Advanced,"Joden, Tia Warner",No
Nuanced Hook: Morally Dubious,Yes,,Tia Warner,Finding Examples,Tia Warner,"F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21)",,Theory Advanced (https://www.notion.so/Theory-Advanced-17ed642a7f7180af91bcd56177891eb3?pvs=21),,No,Yes,3,Medium,No,Theory Advanced,Joden,No
01 Foundations of Manufacturing Authority,Yes,,"Tia Warner, Aydan",Finding Examples,Aydan,"F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21)",,Theory Advanced (https://www.notion.so/Theory-Advanced-17ed642a7f7180af91bcd56177891eb3?pvs=21),,No,Yes,3,Medium,No,Theory Advanced,Joden,No
"PR advanced - Shaping your Narrative (this is more authority than PR, maybe I missed something tho, its still good)",Yes,"PDF, final script",Alex O'Connor,Finding Examples,Alex O'Connor,"F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21)",,Theory Advanced (https://www.notion.so/Theory-Advanced-17ed642a7f7180af91bcd56177891eb3?pvs=21),,No,Yes,3,Medium,No,Theory Advanced,Joden,No
Basics on PR and Position,Yes,PDF,Alex O'Connor,Finding Examples,Alex O'Connor,"F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Theory Advanced (https://www.notion.so/Theory-Advanced-17ed642a7f7180af91bcd56177891eb3?pvs=21),,No,Yes,3,Medium,No,Theory Advanced,Joden,No
Theory Basics,No,,,Parent Item,,"C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21)",,,,No,Yes,3,Medium,Yes,Theory Basics,,No
The Script of Sisyphus i.e The Boulder Analogy,Yes,,,Finding Examples,,"F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Theory Basics (https://www.notion.so/Theory-Basics-17ed642a7f71800b89f2fb04039f2fca?pvs=21),,No,Yes,6,High,No,Theory Basics,Joden,No
Helpful Formats 101,Yes,,Tia Warner,Finding Examples,Tia Warner,"C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21)",,Theory Basics (https://www.notion.so/Theory-Basics-17ed642a7f71800b89f2fb04039f2fca?pvs=21),,No,Yes,4,Medium,No,Theory Basics,Joden,No
"Algorithmic Reality: The Holistic Understanding ",Yes,,,Finding Examples,Tia Warner,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21)",,Theory Basics (https://www.notion.so/Theory-Basics-17ed642a7f71800b89f2fb04039f2fca?pvs=21),,No,Yes,5,Medium,No,Theory Basics,Joden,No
Engagement Metrics 101,Yes,,"Aydan, Joden",Finding Examples,Tia Warner,"C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21)",,Theory Basics (https://www.notion.so/Theory-Basics-17ed642a7f71800b89f2fb04039f2fca?pvs=21),,No,Yes,4,Medium,No,Theory Basics,Joden,No
The Frame Itself,Yes,,,Finding Examples,Tia Warner,"C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Theory Basics (https://www.notion.so/Theory-Basics-17ed642a7f71800b89f2fb04039f2fca?pvs=21),,No,Yes,6,High,No,Theory Basics,Joden,No
Scriptwriting 101,Yes,,Tia Warner,Finding Examples,Tia Warner,"C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21)",,Theory Basics (https://www.notion.so/Theory-Basics-17ed642a7f71800b89f2fb04039f2fca?pvs=21),,No,Yes,2,Normal,No,Theory Basics,Joden,No
Hooking Fundamentals,Yes,,Tia Warner,Finding Examples,Tia Warner,"C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21)",,Theory Basics (https://www.notion.so/Theory-Basics-17ed642a7f71800b89f2fb04039f2fca?pvs=21),,No,Yes,3,Medium,No,Theory Basics,Joden,No
"Strategy: Pillars, Topics, Buckets",Yes,,"Aydan, Tia Warner",Finding Examples,Tia Warner,"C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21)",,Theory Basics (https://www.notion.so/Theory-Basics-17ed642a7f71800b89f2fb04039f2fca?pvs=21),,No,Yes,4,Medium,No,Theory Basics,Joden,No
The 3 Cardinal Sins and Cardinal Virtues,Yes,,"Aydan, Tia Warner",Finding Examples,Tia Warner,"C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21)",,Theory Basics (https://www.notion.so/Theory-Basics-17ed642a7f71800b89f2fb04039f2fca?pvs=21),,No,Yes,6,High,No,Theory Basics,Joden,No
Intro: The Big Picture on Short Form,No,,,Finding Examples,Tia Warner,"C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21), C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21)",,Theory Basics (https://www.notion.so/Theory-Basics-17ed642a7f71800b89f2fb04039f2fca?pvs=21),,No,Yes,3,Medium,No,Theory Basics,,No
Starting an Account for Success,Yes,,Aydan,Finding Examples,Aydan,"C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21)",,Theory Basics (https://www.notion.so/Theory-Basics-17ed642a7f71800b89f2fb04039f2fca?pvs=21),,No,Yes,6,High,No,Theory Basics,Joden,No
Platform Differences,Yes,,Tia Warner,Finding Examples,Tia Warner,"C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21), C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Theory Basics (https://www.notion.so/Theory-Basics-17ed642a7f71800b89f2fb04039f2fca?pvs=21),,No,Yes,6,High,No,Theory Basics,Joden,No
"Theory Lite  ",No,,,Parent Item,,,,,,No,Yes,0,,Yes,Theory Lite,,No
