Name,Theory/Lectures Filmed?,Needs,FilmingWorkShop / Examples / Whatever Supplementary Materials,Status,Person Assinged Writer,Projects,Other Filming Locations?,Parent,PDFs/Attachments,Doesn't Need Attachment,Missing Attachments?,Amount of Projects,Module priority,Parent?,Parent Groups,FilmingTheory?,Workshops/Supplementaries Filmed?
04 Videography Delegated,No,,,Not started,"Joden, Aydan","C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Delegation (https://www.notion.so/Delegation-17ed642a7f71803a8e0bc58c0d3fd7d7?pvs=21),,No,Yes,3,Medium,No,Delegation,"Joden, Aydan",No
Editing,No,,,Parent Item,,,,,,No,Yes,0,,Yes,Editing,,No
Podcast Clipping,No,,Aydan,Writing Script/Theory,Aydan,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Editing (https://www.notion.so/Editing-17ed642a7f7180ddbaeaf871d8b76fff?pvs=21),,No,Yes,3,Medium,No,Editing,"Aydan, Joden",No
Editing Team,No,,Joden,Not started,Joden,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Editing (https://www.notion.so/Editing-17ed642a7f7180ddbaeaf871d8b76fff?pvs=21),,No,Yes,4,Medium,No,Editing,Joden,No
Editing Advanced,No,,Joden,Not started,Joden,"C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Editing (https://www.notion.so/Editing-17ed642a7f7180ddbaeaf871d8b76fff?pvs=21),,No,Yes,5,Medium,No,Editing,Joden,No
Editing Basics,No,,Aydan,Writing Script/Theory,Aydan,"C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21)",,Editing (https://www.notion.so/Editing-17ed642a7f7180ddbaeaf871d8b76fff?pvs=21),,No,Yes,2,Normal,No,Editing,Aydan,No
Monetisation,No,,,Parent Item,,,,,,No,Yes,0,,Yes,Monetisation,,No
Monetisation Basics (Setting up platform) - filmed but script unfinished,No,,"Aydan, Joden",Writing Script/Theory,Aydan,"C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21), C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Monetisation (https://www.notion.so/Monetisation-181d642a7f7180168e89fb1bc68eabd1?pvs=21),,No,Yes,6,High,No,Monetisation,"Joden, Aydan",No
Monetisation Founder (partnerships),Yes,research,"Joden, Aydan, Alex O'Connor",Finding Examples,Alex O'Connor,"F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21)",,Monetisation (https://www.notion.so/Monetisation-181d642a7f7180168e89fb1bc68eabd1?pvs=21),,No,Yes,3,Medium,No,Monetisation,"Joden, Aydan",No
Monetisation Pro (business - how do you sell to your audience),Yes,research,Joden,Finding Examples,Alex O'Connor,"F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21)",,Monetisation (https://www.notion.so/Monetisation-181d642a7f7180168e89fb1bc68eabd1?pvs=21),,No,Yes,4,Medium,No,Monetisation,"Joden, Alex O'Connor",No
