Name,Theory/Lectures Filmed?,Needs,FilmingWorkShop / Examples / Whatever Supplementary Materials,Status,Person Assinged Writer,Projects,Other Filming Locations?,Parent,PDFs/Attachments,Doesn't Need Attachment,Missing Attachments?,Amount of Projects,Module priority,Parent?,Parent Groups,FilmingTheory?,Workshops/Supplementaries Filmed?,Parent item,Assigned to Attachments,Child,Essential (Middle Tier),String Length
03 Creation of the Creative Team,Yes,"PDF, final script",Alex O'Connor,Finding Examples,Alex O'Connor,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Delegation (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Delegation%2017ed642a7f71803a8e0bc58c0d3fd7d7.csv),,No,Yes,4,Medium,No,Delegation,Alex O'Connor,No,,,,F,1
02 First Bottlenecks (setup),Yes,"PDF, final script","Joden, Alex O'Connor",Finding Examples,Alex O'Connor,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21)",,Delegation (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Delegation%2017ed642a7f71803a8e0bc58c0d3fd7d7.csv),,No,Yes,4,Medium,No,Delegation,"Alex O'Connor, Joden",No,Delegation (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Delegation%2017ed642a7f71803a8e0bc58c0d3fd7d7.csv),,,F,1
"05 How to make the content run itself (hiring/motivating)  ",Yes,"PDF, final script","Joden, Alex O'Connor",Finding Examples,"Joden, Alex O'Connor","F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21)",,Delegation (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Delegation%2017ed642a7f71803a8e0bc58c0d3fd7d7.csv),,No,Yes,2,Normal,No,Delegation,"Alex O'Connor, Joden",No,Delegation (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Delegation%2017ed642a7f71803a8e0bc58c0d3fd7d7.csv),,,F,1
06 Creating a Team Workflow (technical pipeline breakdown),No,"PDF, affiliate links, final script",Joden,Finding Examples,"Joden, Alex O'Connor","F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21)",,Delegation (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Delegation%2017ed642a7f71803a8e0bc58c0d3fd7d7.csv),,No,Yes,2,Normal,No,Delegation,"Joden, Alex O'Connor",No,Delegation (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Delegation%2017ed642a7f71803a8e0bc58c0d3fd7d7.csv),,,F,1
01 Introduction to Delegationintro,Yes,,,Finding Examples,Alex O'Connor,"F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Delegation (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Delegation%2017ed642a7f71803a8e0bc58c0d3fd7d7.csv),,No,Yes,4,Medium,No,Delegation,"Alex O'Connor, Joden",No,Delegation (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Delegation%2017ed642a7f71803a8e0bc58c0d3fd7d7.csv),,,F,1
04 Videography Delegated,No,,,Not started,"Joden, Aydan","C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Delegation (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Delegation%2017ed642a7f71803a8e0bc58c0d3fd7d7.csv),,No,Yes,3,Medium,No,Delegation,"Joden, Aydan",No,,,,F,1
Editing,No,,,Parent Item,,,,,,No,Yes,0,,Yes,Editing,,No,,,"Editing Basics (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Editing%20Basics%2017ed642a7f718016921be415d292b505.csv), Editing Team (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Editing%20Team%2017ed642a7f71807b9dfcfe2cb45268e8.csv), Editing Advanced (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Editing%20Advanced%2017ed642a7f718087bdb1d9f08550adff.csv), Podcast Clipping (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Podcast%20Clipping%2017ed642a7f7180a9b4f0fa8fe7206a7a.csv)",,0
Podcast Clipping,No,,Aydan,Writing Script/Theory,Aydan,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Editing (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Editing%2017ed642a7f7180ddbaeaf871d8b76fff.csv),,No,Yes,3,Medium,No,Editing,"Aydan, Joden",No,Editing (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Editing%2017ed642a7f7180ddbaeaf871d8b76fff.csv),,,F,1
Editing Team,No,,Joden,Not started,Joden,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Editing (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Editing%2017ed642a7f7180ddbaeaf871d8b76fff.csv),,No,Yes,4,Medium,No,Editing,Joden,No,Editing (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Editing%2017ed642a7f7180ddbaeaf871d8b76fff.csv),,,F,1
Editing Advanced,No,,Joden,Not started,Joden,"C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Editing (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Editing%2017ed642a7f7180ddbaeaf871d8b76fff.csv),,No,Yes,5,Medium,No,Editing,Joden,No,Editing (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Editing%2017ed642a7f7180ddbaeaf871d8b76fff.csv),,,CF,2
Editing Basics,No,,Aydan,Writing Script/Theory,Aydan,"C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21)",,Editing (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Editing%2017ed642a7f7180ddbaeaf871d8b76fff.csv),,No,Yes,2,Normal,No,Editing,Aydan,No,Editing (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Editing%2017ed642a7f7180ddbaeaf871d8b76fff.csv),,,,0
Monetisation,No,,,Parent Item,,,,,,No,Yes,0,,Yes,Monetisation,,No,,,"Monetisation Basics (Setting up platform) - filmed but script unfinished (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Monetisation%20Basics%20(Setting%20up%20platform)%20-%20filmed%2017ed642a7f7180009b94e7854f8ade04.csv), Monetisation Pro (business - how do you sell to your audience) (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Monetisation%20Pro%20(business%20-%20how%20do%20you%20sell%20to%20yo%2017ed642a7f7180c5bf20c43faa48779c.csv), Monetisation Founder (partnerships) (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Monetisation%20Founder%20(partnerships)%2017ed642a7f7180faa3b0dbe36a48184b.csv)",,0
Monetisation Basics (Setting up platform) - filmed but script unfinished,No,,"Aydan, Joden",Writing Script/Theory,Aydan,"C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21), C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Monetisation (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Monetisation%20181d642a7f7180168e89fb1bc68eabd1.csv),,No,Yes,6,High,No,Monetisation,"Joden, Aydan",No,,,,CF,2
Monetisation Founder (partnerships),Yes,research,"Joden, Aydan, Alex O'Connor",Finding Examples,Alex O'Connor,"F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21)",,Monetisation (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Monetisation%20181d642a7f7180168e89fb1bc68eabd1.csv),,No,Yes,3,Medium,No,Monetisation,"Joden, Aydan",No,,,,F,1
Monetisation Pro (business - how do you sell to your audience),Yes,research,Joden,Finding Examples,Alex O'Connor,"F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21)",,Monetisation (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Monetisation%20181d642a7f7180168e89fb1bc68eabd1.csv),,No,Yes,4,Medium,No,Monetisation,"Joden, Alex O'Connor",No,,,,F,1
Posting & Scheduling,No,,,Parent Item,,,,,,No,Yes,0,,Yes,Posting & Scheduling,,No,,,"P&S Individual (Course%20Modules%2017ed642a7f7180668c64c23a322826af/P&S%20Individual%2017ed642a7f7180c29becf166a175ec17.csv), P&S Founder (Course%20Modules%2017ed642a7f7180668c64c23a322826af/P&S%20Founder%2017ed642a7f7180e5a26ff7d0fad4c49f.csv)",,0
P&S Founder,No,"PDF, Walkthrough, affiliate links","Aydan, Alex O'Connor",Finding Examples,Alex O'Connor,"F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Posting & Scheduling (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Posting%20&%20Scheduling%2017ed642a7f718040b18cffc04316721d.csv),,No,Yes,3,Medium,No,Posting & Scheduling,Joden,No,,,,F,1
P&S Individual,No,,"Aydan, Alex O'Connor",Writing Script/Theory,Aydan,"C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21), C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21)",,Posting & Scheduling (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Posting%20&%20Scheduling%2017ed642a7f718040b18cffc04316721d.csv),,No,Yes,3,Medium,No,Posting & Scheduling,"Joden, Aydan",No,,,,C,1
Repurposing,No,,,Parent Item,,,,,,No,Yes,0,,Yes,Repurposing,,No,,,"Repurposing from LinkedIn: Worked Examples/ (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Repurposing%20from%20LinkedIn%20Worked%20Examples%2017ed642a7f718009b201e18ecb47f9c8.csv), Repurposing Normal (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Repurposing%20Normal%2017ed642a7f71807bb6dbfae4eed06a73.csv), Serialisation (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Serialisation%2017ed642a7f7180fb83daf9793abd35d9.csv)",,0
Serialisation,Yes,,"Tia Warner, Joden",Finding Examples,"Tia Warner, Alex O'Connor","C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Repurposing (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Repurposing%2017ed642a7f7180808e09ec462a6d1b30.csv),,No,Yes,5,Medium,No,Repurposing,"Tia Warner, Joden",No,Repurposing (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Repurposing%2017ed642a7f7180808e09ec462a6d1b30.csv),,,CF,2
Repurposing from LinkedIn: Worked Examples/,Yes,Other Assets,Joden,Finding Examples,Tia Warner,"F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Repurposing (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Repurposing%2017ed642a7f7180808e09ec462a6d1b30.csv),,No,Yes,3,Medium,No,Repurposing,Joden,Yes,Repurposing (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Repurposing%2017ed642a7f7180808e09ec462a6d1b30.csv),,,F,1
Repurposing Normal,Yes,,Tia Warner,Finding Examples,Tia Warner,"C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Repurposing (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Repurposing%2017ed642a7f7180808e09ec462a6d1b30.csv),,No,Yes,6,High,No,Repurposing,"Joden, Tia Warner",No,Repurposing (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Repurposing%2017ed642a7f7180808e09ec462a6d1b30.csv),,,CF,2
Research,No,,,Parent Item,,,,,,No,Yes,0,,Yes,Research,,No,,,"Research Advanced Tasks (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Research%20Advanced%20Tasks%2017ed642a7f71803da585e10f095af144.csv), Research Basics (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Research%20Basics%2017ed642a7f7180579f17de70aad2daba.csv)",,0
Research Advanced Tasks,No,,Tia Warner,Finding Examples,Tia Warner,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Research (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Research%2017ed642a7f7180ae986fe86a366b48a2.csv),,No,Yes,3,Medium,No,Research,Tia Warner,No,Research (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Research%2017ed642a7f7180ae986fe86a366b48a2.csv),,,F,1
Research Basics,Yes,,Tia Warner,Finding Examples,Tia Warner,"C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21), C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21)",,Research (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Research%2017ed642a7f7180ae986fe86a366b48a2.csv),,No,Yes,3,Medium,No,Research,Tia Warner,No,Research (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Research%2017ed642a7f7180ae986fe86a366b48a2.csv),,,C,1
Shooting,No,,,Parent Item,,,,,,No,Yes,0,,Yes,Shooting,,No,,,"Producing a Podcast for Clips (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Producing%20a%20Podcast%20for%20Clips%2017ed642a7f71807cbedbf443cee77aba.csv), Setting up a Studio Space (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Setting%20up%20a%20Studio%20Space%2017ed642a7f7180ae9331d91591bfa662.csv), Solo Phone Shooter (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Solo%20Phone%20Shooter%2017ed642a7f7180bba0cfdbb2d4424e30.csv), Videography Pro (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Videography%20Pro%2017ed642a7f7180f8916efe7b96732b18.csv), Camera Confidence (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Camera%20Confidence%20181d642a7f71804ab384dc2c4d87ba75.csv)",,0
Camera Confidence,Yes,,"Joden, Aydan",Finding Examples,Aydan,"C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21)",,Shooting (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Shooting%2017ed642a7f7180ee937ed0835beb1548.csv),,No,Yes,5,Medium,No,Shooting,"Joden, Aydan",No,,,,CF,2
Producing a Podcast for Clips,Yes,,Aydan,Finding Examples,Aydan,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21)",,Shooting (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Shooting%2017ed642a7f7180ee937ed0835beb1548.csv),,No,Yes,4,Medium,No,Shooting,Aydan,No,,,,F,1
Setting up a Studio Space,No,affiliate links,"Joden, Aydan",Not started,Joden,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Shooting (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Shooting%2017ed642a7f7180ee937ed0835beb1548.csv),,No,Yes,4,Medium,No,Shooting,Joden,No,,,,CF,2
Videography Pro,No,affiliate links,Joden,Not started,Joden,"C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21)",,Shooting (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Shooting%2017ed642a7f7180ee937ed0835beb1548.csv),,No,Yes,3,Medium,No,Shooting,Joden,No,,,,CF,2
Solo Phone Shooter,Yes,affiliate links,Aydan,Finding Examples,Aydan,"C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Shooting (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Shooting%2017ed642a7f7180ee937ed0835beb1548.csv),,No,Yes,6,High,No,Shooting,Aydan,No,,,,CF,2
Theory Advanced,No,,,Parent Item,,,,,,No,Yes,0,,Yes,Theory Advanced,,No,,,"Basics on PR and Position (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Basics%20on%20PR%20and%20Position%2017ed642a7f7180689782f31fafa822bd.csv), PR advanced - Shaping your Narrative (this is more authority than PR, maybe I missed something tho, its still good) (Course%20Modules%2017ed642a7f7180668c64c23a322826af/PR%20advanced%20-%20Shaping%20your%20Narrative%20(this%20is%20more%2017ed642a7f7180cfa5bfd4485b2ca2fc.csv), 01 Foundations of Manufacturing Authority (Course%20Modules%2017ed642a7f7180668c64c23a322826af/01%20Foundations%20of%20Manufacturing%20Authority%20182d642a7f7180d2a3e5ca6a2759f287.csv), Nuanced Hook: Morally Dubious (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Nuanced%20Hook%20Morally%20Dubious%20182d642a7f718015aab1e596d2a14b2e.csv), Advanced Emotional Positioning  (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Advanced%20Emotional%20Positioning%20182d642a7f718083afa7cfad4a3888bc.csv), Complex Formats & Remixing (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Complex%20Formats%20&%20Remixing%20182d642a7f7180f1b471d3c13be639e3.csv), Data-Led Iteration (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Data-Led%20Iteration%20182d642a7f71802cbd76ffdd6f26276a.csv), 02 Authority and Brand Holism through Short Form Content (Course%20Modules%2017ed642a7f7180668c64c23a322826af/02%20Authority%20and%20Brand%20Holism%20through%20Short%20Form%20C%20182d642a7f7180ac9044e8b5eadc5956.csv), Advanced Engagement Metrics (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Advanced%20Engagement%20Metrics%20182d642a7f718056a53dd98c0afdd03a.csv), Script Mastery: Optimising for Engagement (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Script%20Mastery%20Optimising%20for%20Engagement%2018cd642a7f71809ea5adff7162ddb0b4.csv), Intro: Founder Specific (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Intro%20Founder%20Specific%20190d642a7f7180ab935bf594818b49d6.csv), Handling a Comment Section (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Handling%20a%20Comment%20Section%2019ed642a7f7180aba58af786dc7bad7d.csv), The Importance of Lo-Fi (Course%20Modules%2017ed642a7f7180668c64c23a322826af/The%20Importance%20of%20Lo-Fi%2019ed642a7f7180e1a774c4e4d7cf0c83.csv), “The Founders Paradox” (Course%20Modules%2017ed642a7f7180668c64c23a322826af/%E2%80%9CThe%20Founders%20Paradox%E2%80%9D%201a0d642a7f7180858b49da6df331d007.csv)",,0
“The Founders Paradox”,No,,,Finding Examples,Tia Warner,"F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Theory Advanced (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Theory%20Advanced%2017ed642a7f7180af91bcd56177891eb3.csv),,No,Yes,3,Medium,No,Theory Advanced,,No,,,,F,1
Handling a Comment Section,Yes,,"Joden, Aydan",Finding Examples,Tia Warner,"F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Theory Advanced (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Theory%20Advanced%2017ed642a7f7180af91bcd56177891eb3.csv),,No,Yes,3,Medium,No,Theory Advanced,Joden,No,,,,F,1
